Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 10:56:37 UTC 2014,0.24,2.0,,
Thu Feb 20 10:56:42 UTC 2014,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:56:49 UTC 2014,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:56:56 UTC 2014,73.252,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:05 UTC 2014,70.5933,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:13 UTC 2014,73.4703,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:21 UTC 2014,72.4841,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:29 UTC 2014,76.0242,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:35 UTC 2014,70.1657,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:40 UTC 2014,70.1657,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:45 UTC 2014,77.6643,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:50 UTC 2014,77.6643,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:55 UTC 2014,76.5396,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:01 UTC 2014,78.9171,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:06 UTC 2014,75.47,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:11 UTC 2014,77.5724,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:16 UTC 2014,71.8953,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:21 UTC 2014,71.8953,0.36,3.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:29 UTC 2014,72.2889,0.36,3.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:37 UTC 2014,74.2001,0.36,3.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:45 UTC 2014,69.1414,0.36,3.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:53 UTC 2014,73.5604,0.36,3.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:59:01 UTC 2014,75.3769,0.36,3.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:59:09 UTC 2014,75.3769,0.36,3.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:59:17 UTC 2014,74.8533,0.36,3.0,AppServer_scaleOut,
Thu Feb 20 10:59:23 UTC 2014,74.8533,0.36,3.0,AppServer_scaleOut,
Thu Feb 20 10:59:28 UTC 2014,73.2,0.36,3.0,AppServer_scaleOut,
Thu Feb 20 10:59:33 UTC 2014,73.0506,0.36,3.0,AppServer_scaleOut,
Thu Feb 20 10:59:38 UTC 2014,73.0506,0.36,3.0,AppServer_scaleOut,
Thu Feb 20 10:59:43 UTC 2014,84.2319,0.36,3.0,AppServer_scaleOut,
Thu Feb 20 10:59:48 UTC 2014,84.2319,0.36,3.0,AppServer_scaleOut,
