 cpuUsage   , cost   , numberOfVMs   
70.08116666666666,0.48,4.0
69.6639,0.48,4.0
69.91096666666667,0.48,4.0
68.71626666666667,0.48,4.0
72.3678,0.48,4.0
74.27186666666667,0.48,4.0
73.03816666666667,0.48,4.0
69.4677,0.48,4.0
68.6665,0.48,4.0
68.16329999999999,0.48,4.0
67.9084,0.48,4.0
72.54379999999999,0.48,4.0
75.08236666666667,0.48,4.0
71.0515,0.48,4.0
68.07869999999998,0.48,4.0
67.6868,0.48,4.0
67.06983333333334,0.48,4.0
68.37286666666667,0.48,4.0
66.40976666666666,0.48,4.0
68.05993333333333,0.48,4.0
67.25306666666667,0.48,4.0
67.49356666666667,0.48,4.0
67.87053333333333,0.48,4.0
67.795,0.48,4.0
67.91576666666667,0.48,4.0
66.6161,0.48,4.0
69.50956666666666,0.48,4.0
69.95476666666666,0.48,4.0
70.49956666666667,0.48,4.0
66.77626666666667,0.48,4.0
68.01786666666668,0.4,3.333333333333333
67.60553333333333,0.4,3.333333333333333
63.915533333333336,0.36,2.9999999999999996
62.42913333333334,0.36,2.9999999999999996
65.52433333333333,0.36,2.9999999999999996
65.52433333333333,0.36,2.9999999999999996
66.05303333333333,0.36,2.9999999999999996
65.7429,0.36,2.9999999999999996
67.5511,0.36,2.9999999999999996
67.28096666666666,0.36,2.9999999999999996
69.3778,0.36,2.9999999999999996
69.57180000000001,0.36,2.9999999999999996
69.44153333333334,0.36,2.9999999999999996
68.3344,0.36,2.9999999999999996
69.2057,0.36,2.9999999999999996
69.2057,0.36,2.9999999999999996
71.03023333333333,0.36,2.9999999999999996
70.62193333333333,0.36,2.9999999999999996
71.88576666666667,0.36,2.9999999999999996
70.37273333333333,0.36,2.9999999999999996
70.901,0.36,2.9999999999999996
71.17900000000002,0.36,2.9999999999999996
71.17900000000002,0.36,2.9999999999999996
