Time ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 10:56:37 UTC 2014,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:56:43 UTC 2014,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:56:50 UTC 2014,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:56:56 UTC 2014,42.5471,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:03 UTC 2014,42.428,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:10 UTC 2014,42.428,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:17 UTC 2014,42.5871,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:24 UTC 2014,42.0733,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:31 UTC 2014,43.8434,4.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:36 UTC 2014,40.9391,5.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:41 UTC 2014,43.7473,5.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:46 UTC 2014,47.4967,5.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:51 UTC 2014,46.8933,5.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:56 UTC 2014,47.5197,5.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:02 UTC 2014,44.456,5.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:07 UTC 2014,45.5072,5.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:12 UTC 2014,42.6686,5.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:17 UTC 2014,41.5421,5.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:22 UTC 2014,41.6205,5.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:29 UTC 2014,41.6205,5.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:36 UTC 2014,42.0585,5.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:43 UTC 2014,39.5292,5.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:50 UTC 2014,39.1208,5.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:57 UTC 2014,43.9632,5.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:59:04 UTC 2014,45.0191,5.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:59:11 UTC 2014,41.4643,5.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:59:19 UTC 2014,41.4876,6.0,AppServer_scaleOut,
Thu Feb 20 10:59:24 UTC 2014,42.3405,6.0,AppServer_scaleOut,
Thu Feb 20 10:59:29 UTC 2014,41.5139,6.0,AppServer_scaleOut,
Thu Feb 20 10:59:34 UTC 2014,41.4642,6.0,AppServer_scaleOut,
Thu Feb 20 10:59:39 UTC 2014,43.4399,6.0,AppServer_scaleOut,
Thu Feb 20 10:59:44 UTC 2014,49.0305,6.0,AppServer_scaleOut,
Thu Feb 20 10:59:49 UTC 2014,48.6196,6.0,AppServer_scaleOut,
